"","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","ICD9.CODE.FRMT"
"1810","522  ","99 ","OR GI Rx prs     ","""LOCAL EXCIS PANCREAS LES (Begin 1980 End 1989)""","52.2"
"1811","5222 ","99 ","OR GI Rx prs     ","""OTHER DESTRU PANCREA LES (Begin 1989)""","52.22"
"1812","523  ","99 ","OR GI Rx prs     ","""PANCREAT CYST MARSUPIALI""","52.3"
"1813","524  ","99 ","OR GI Rx prs     ","""INT DRAIN PANCREAT CYST""","52.4"
"1814","5251 ","99 ","OR GI Rx prs     ","""PROXIMAL PANCREATECTOMY""","52.51"
"1815","5252 ","99 ","OR GI Rx prs     ","""DISTAL PANCREATECTOMY""","52.52"
"1816","5253 ","99 ","OR GI Rx prs     ","""RAD SUBTOT PANCREATECTOM""","52.53"
"1817","5259 ","99 ","OR GI Rx prs     ","""PARTIAL PANCREATECT NEC""","52.59"
"1818","526  ","99 ","OR GI Rx prs     ","""TOTAL PANCREATECTOMY""","52.6"
"1819","527  ","99 ","OR GI Rx prs     ","""RAD PANCREATICODUODENECT""","52.7"
"1820","5292 ","99 ","OR GI Rx prs     ","""(OTH) CANNULAT PANCRE DUC(Begin 1989)""","52.92"
"1821","5295 ","99 ","OR GI Rx prs     ","""PANCREATIC REPAIR NEC""","52.95"
"1822","5296 ","99 ","OR GI Rx prs     ","""PANCREATIC ANASTOMOSIS""","52.96"
"1823","5299 ","99 ","OR GI Rx prs     ","""PANCREATIC OPERATION NEC (Begin 1989)""","52.99"
"1824","540  ","99 ","OR GI Rx prs     ","""ABDOMINAL WALL INCISION""","54.0"
"1825","5412 ","99 ","OR GI Rx prs     ","""REOPEN RECENT LAP SITE""","54.12"
"1826","5419 ","99 ","OR GI Rx prs     ","""LAPAROTOMY NEC""","54.19"
"1827","543  ","99 ","OR GI Rx prs     ","""DESTRUCT ABD WALL LESION""","54.3"
"1828","544  ","99 ","OR GI Rx prs     ","""DESTRUCT PERITONEAL TISS""","54.4"
"1829","5461 ","99 ","OR GI Rx prs     ","""RECLOSE POST OP DISRUPT""","54.61"
"1830","5462 ","99 ","OR GI Rx prs     ","""DELAYED CLOS ABD WOUND""","54.62"
"1831","5463 ","99 ","OR GI Rx prs     ","""ABD WALL SUTURE NEC""","54.63"
"1832","5464 ","99 ","OR GI Rx prs     ","""PERITONEAL SUTURE""","54.64"
"1833","5471 ","99 ","OR GI Rx prs     ","""REPAIR OF GASTROSCHISIS""","54.71"
"1834","5472 ","99 ","OR GI Rx prs     ","""ABDOMEN WALL REPAIR NEC""","54.72"
"1835","5473 ","99 ","OR GI Rx prs     ","""PERITONEAL REPAIR NEC""","54.73"
"1836","5474 ","99 ","OR GI Rx prs     ","""OMENTAL REPAIR NEC""","54.74"
"1837","5475 ","99 ","OR GI Rx prs     ","""MESENTERIC REPAIR NEC""","54.75"
"1838","5492 ","99 ","OR GI Rx prs     ","""REMOVE FB FROM PERITON""","54.92"
"1839","5493 ","99 ","OR GI Rx prs     ","""CREATE CUTANPERITON FIST""","54.93"
"1840","5494 ","99 ","OR GI Rx prs     ","""CREAT PERITONEOVAS SHUNT""","54.94"
"1841","5495 ","99 ","OR GI Rx prs     ","""PERITONEAL INCISION""","54.95"
"1842","5521 ","100","Urin endosco     ","""NEPHROSCOPY""","55.21"
"1843","5522 ","100","Urin endosco     ","""PYELOSCOPY""","55.22"
"1844","5631 ","100","Urin endosco     ","""URETEROSCOPY""","56.31"
"1845","5633 ","100","Urin endosco     ","""CLOS ENDOSC URETERAL BX (Begin 1987)""","56.33"
"1846","5732 ","100","Urin endosco     ","""CYSTOSCOPY NEC""","57.32"
"1847","5733 ","100","Urin endosco     ","""CLOS TRANSURETH BLADD BX""","57.33"
"1848","5822 ","100","Urin endosco     ","""URETHROSCOPY NEC""","58.22"
"1849","5823 ","100","Urin endosco     ","""URETHRAL BIOPSY""","58.23"
"1850","560  ","101","Transur rem      ","""TU REMOV URETER OBSTRUCT""","56.0"
"1851","570  ","101","Transur rem      ","""TU BLADDER CLEARANCE""","57.0"
"1852","5741 ","101","Transur rem      ","""TU ADHESIOLYSIS BLADDER""","57.41"
"1853","5749 ","101","Transur rem      ","""TU DESTRUC BLADD LES NEC""","57.49"
"1854","598  ","102","Ureter cath      ","""URETERAL CATHETERIZATION""","59.8"
"1855","5501 ","103","Nephrotomy       ","""NEPHROTOMY""","55.01"
"1856","5502 ","103","Nephrotomy       ","""NEPHROSTOMY""","55.02"
"1857","5503 ","103","Nephrotomy       ","""PERCU NEPHROSTM W/O FRAG (Begin 1986)""","55.03"
"1858","5504 ","103","Nephrotomy       ","""PERCU NEPHROSTMY W FRAG (Begin 1986)""","55.04"
"1859","5511 ","103","Nephrotomy       ","""PYELOTOMY""","55.11"
"1860","5512 ","103","Nephrotomy       ","""PYELOSTOMY""","55.12"
"1861","554  ","104","Nephrectomy      ","""PARTIAL NEPHRECTOMY""","55.4"
"1862","5551 ","104","Nephrectomy      ","""NEPHROURETERECTOMY""","55.51"
"1863","5552 ","104","Nephrectomy      ","""SOLITARY KIDNEY NEPHRECT""","55.52"
"1864","5553 ","104","Nephrectomy      ","""REJECTED KIDNEY NEPHRECT""","55.53"
"1865","5554 ","104","Nephrectomy      ","""BILATERAL NEPHRECTOMY""","55.54"
"1866","5561 ","105","Kidney trans     ","""RENAL AUTOTRANSPLANT""","55.61"
"1867","5569 ","105","Kidney trans     ","""KIDNEY TRANSPLANT NEC""","55.69"
"1868","593  ","106","GU incont pr     ","""URETHROVES JUNCT PLICAT""","59.3"
"1869","594  ","106","GU incont pr     ","""SUPRAPUBIC SLING OP""","59.4"
"1870","595  ","106","GU incont pr     ","""RETROPUBIC URETH SUSPENS""","59.5"
"1871","596  ","106","GU incont pr     ","""PARAURETHRAL SUSPENSION""","59.6"
"1872","5971 ","106","GU incont pr     ","""LEVATOR MUSC SUSPENSION""","59.71"
"1873","5972 ","106","GU incont pr     ","""INJECT IMPL URETHRA (Begin 1995)""","59.72"
"1874","5979 ","106","GU incont pr     ","""URIN INCONTIN REPAIR NEC""","59.79"
"1875","5995 ","107","Lithotrip ur     ","""ULTRASON FRAGMENT-STONE""","59.95"
"1876","5996 ","107","Lithotrip ur     ","""LITHOTRIPSY URIN (Begin 1986 End 1989)""","59.96"
"1877","9851 ","107","Lithotrip ur     ","""ESWL KID/URETER/BLADDER (Begin 1989)""","98.51"
"1878","5794 ","108","Urine cath       ","""INSERT INDWELLING CATH""","57.94"
"1879","580  ","109","Prcs urethra     ","""URETHROTOMY""","58.0"
"1880","581  ","109","Prcs urethra     ","""URETHRAL MEATOTOMY""","58.1"
"1881","583  ","109","Prcs urethra     ","""EXCIS DESTR URETHRA LES (Begin 1980 End 1990)""","58.3"
"1882","5831 ","109","Prcs urethra     ","""ENDOSC DESTR URETHRA LES (Begin 1990)""","58.31"
"1883","5839 ","109","Prcs urethra     ","""OTHER DESTRU URETHRA LES (Begin 1990)""","58.39"
"1884","5841 ","109","Prcs urethra     ","""SUTURE URETHRAL LACERAT""","58.41"
"1885","5842 ","109","Prcs urethra     ","""URETHROSTOMY CLOSURE""","58.42"
"1886","5843 ","109","Prcs urethra     ","""CLOSE URETH FISTULA NEC""","58.43"
"1887","5844 ","109","Prcs urethra     ","""URETHRAL REANASTOMOSIS""","58.44"
"1888","5845 ","109","Prcs urethra     ","""HYPO-EPISPADIUS REPAIR""","58.45"
"1889","5846 ","109","Prcs urethra     ","""URETH RECONSTRUCTION NEC""","58.46"
"1890","5847 ","109","Prcs urethra     ","""URETHRAL MEATOPLASTY""","58.47"
"1891","5849 ","109","Prcs urethra     ","""URETHRAL REPAIR NEC""","58.49"
"1892","585  ","109","Prcs urethra     ","""URETH STRICTURE RELEASE""","58.5"
"1893","586  ","109","Prcs urethra     ","""URETHRAL DILATION""","58.6"
"1894","5891 ","109","Prcs urethra     ","""PERIURETHRAL INCISION""","58.91"
"1895","5892 ","109","Prcs urethra     ","""PERIURETHRAL EXCISION""","58.92"
"1896","5893 ","109","Prcs urethra     ","""IMPLT ARTF URIN SPHINCT (Begin 1986)""","58.93"
"1897","5899 ","109","Prcs urethra     ","""URETH/PERIURETH OP NEC""","58.99"
"1898","5523 ","110","Dx prc urin      ","""CLOSED RENAL BIOPSY""","55.23"
"1899","5524 ","110","Dx prc urin      ","""OPEN RENAL BIOPSY""","55.24"
"1900","5529 ","110","Dx prc urin      ","""RENAL DIAGNOST PROC NEC""","55.29"
"1901","5632 ","110","Dx prc urin      ","""CLOSED URETERAL BIOPSY""","56.32"
"1902","5634 ","110","Dx prc urin      ","""OPEN URETERAL BIOPSY (Begin 1987)""","56.34"
"1903","5635 ","110","Dx prc urin      ","""ENDOSCOPIC ILEAL CONDUIT (Begin 1987)""","56.35"
"1904","5639 ","110","Dx prc urin      ","""URETERAL DX PROCEDUR NEC""","56.39"
"1905","5731 ","110","Dx prc urin      ","""CYSTOSCOPY THRU STOMA""","57.31"
"1906","5734 ","110","Dx prc urin      ","""OPEN BLADDER BIOPSY""","57.34"
"1907","5739 ","110","Dx prc urin      ","""BLADDER DIAGNOS PROC NEC""","57.39"
"1908","5821 ","110","Dx prc urin      ","""PERINEAL URETHROSCOPY""","58.21"
"1909","5824 ","110","Dx prc urin      ","""PERIURETHRAL BIOPSY""","58.24"
"1910","5829 ","110","Dx prc urin      ","""URETHRAL DX PROC NEC""","58.29"
"1911","5921 ","110","Dx prc urin      ","""PERIREN/URETERAL BIOPSY""","59.21"
"1912","5929 ","110","Dx prc urin      ","""PERIREN/URET DX PROC NEC""","59.29"
"1913","5592 ","111","nOR Rx urin      ","""PERCUTAN RENAL ASPIRAT""","55.92"
"1914","5593 ","111","nOR Rx urin      ","""REPLACE NEPHROSTOMY TUBE""","55.93"
"1915","5594 ","111","nOR Rx urin      ","""REPLACE PYELOSTOMY TUBE""","55.94"
"1916","5595 ","111","nOR Rx urin      ","""LOCAL RENAL PERFUSION""","55.95"
"1917","5596 ","111","nOR Rx urin      ","""RENAL INJECTION NEC""","55.96"
"1918","5691 ","111","nOR Rx urin      ","""URETERAL MEATUS DILATION""","56.91"
"1919","5711 ","111","nOR Rx urin      ","""PERCUTAN BLADDER ASPIRAT""","57.11"
"1920","5717 ","111","nOR Rx urin      ","""PERCUTANEOUS CYSTOSTOMY (Begin 1989)""","57.17"
"1921","5792 ","111","nOR Rx urin      ","""BLADDER NECK DILATION""","57.92"
"1922","5795 ","111","nOR Rx urin      ","""REPLACE INDWELLING CATH""","57.95"
"1923","5993 ","111","nOR Rx urin      ","""REPLACE URETEROST TUBE""","59.93"
"1924","5994 ","111","nOR Rx urin      ","""REPLACE CYSTOSTOMY TUBE""","59.94"
"1925","5999 ","111","nOR Rx urin      ","""URINARY SYSTEM OP NEC""","59.99"
"1926","9625 ","111","nOR Rx urin      ","""THERAPEUT DISTENT BLADD""","96.25"
"1927","9645 ","111","nOR Rx urin      ","""NEPHROST/PYELOST IRRIGAT""","96.45"
"1928","9646 ","111","nOR Rx urin      ","""URTEROST/URETE CTH IRRIG""","96.46"
"1929","9647 ","111","nOR Rx urin      ","""CYSTOSTOMY IRRIGATION""","96.47"
"1930","9648 ","111","nOR Rx urin      ","""INDWELL CATH IRRIG NEC""","96.48"
"1931","9649 ","111","nOR Rx urin      ","""OTHER GU INSTILLATION""","96.49"
"1932","9761 ","111","nOR Rx urin      ","""REMOV PYELOS/NEPHROS TUB""","97.61"
"1933","9762 ","111","nOR Rx urin      ","""REMOV URETERAL DRAIN""","97.62"
"1934","9763 ","111","nOR Rx urin      ","""REMOV CYSTOSTOMY TUBE""","97.63"
"1935","9764 ","111","nOR Rx urin      ","""REMOV URIN DRAINAGE NEC""","97.64"
"1936","9765 ","111","nOR Rx urin      ","""REMOV URETHRAL STENT""","97.65"
"1937","9769 ","111","nOR Rx urin      ","""REMOV OTHER URIN DEVICE""","97.69"
"1938","5531 ","112","OR Rx urin       ","""RENAL LES MARSUPIALIZAT""","55.31"
"1939","5532 ","112","OR Rx urin       ","""OPN ABLTN RENAL LES/TISS (Begin 2006)""","55.32"
"1940","5533 ","112","OR Rx urin       ","""PERC ABLTN RENL LES/TISS (Begin 2006)""","55.33"
"1941","5534 ","112","OR Rx urin       ","""LAP ABLTN RENAL LES/TISS (Begin 2006)""","55.34"
"1942","5535 ","112","OR Rx urin       ","""ABLTN RENAL LES/TISS NEC (Begin 2006)""","55.35"
"1943","5539 ","112","OR Rx urin       ","""LOC DESTR RENAL LES NEC""","55.39"
"1944","557  ","112","OR Rx urin       ","""NEPHROPEXY""","55.7"
"1945","5581 ","112","OR Rx urin       ","""SUTURE KIDNEY LACERATION""","55.81"
"1946","5582 ","112","OR Rx urin       ","""CLOSE NEPHROST & PYELOST""","55.82"
"1947","5583 ","112","OR Rx urin       ","""CLOSE RENAL FISTULA NEC""","55.83"
"1948","5584 ","112","OR Rx urin       ","""REDUCE RENAL PEDICL TORS""","55.84"
"1949","5585 ","112","OR Rx urin       ","""SYMPHYSIOTOMY""","55.85"
"1950","5586 ","112","OR Rx urin       ","""RENAL ANASTOMOSIS""","55.86"
"1951","5587 ","112","OR Rx urin       ","""CORRECT URETEROPELV JUNC""","55.87"
"1952","5589 ","112","OR Rx urin       ","""RENAL REPAIR NEC""","55.89"
"1953","5591 ","112","OR Rx urin       ","""RENAL DECAPSULATION""","55.91"
"1954","5597 ","112","OR Rx urin       ","""IMPLANT MECHANIC KIDNEY""","55.97"
"1955","5598 ","112","OR Rx urin       ","""REMOV MECHANICAL KIDNEY""","55.98"
"1956","5599 ","112","OR Rx urin       ","""RENAL OPERATION NEC""","55.99"
"1957","561  ","112","OR Rx urin       ","""URETERAL MEATOTOMY""","56.1"
"1958","562  ","112","OR Rx urin       ","""URETEROTOMY""","56.2"
"1959","5640 ","112","OR Rx urin       ","""URETERECTOMY NOS""","56.40"
"1960","5641 ","112","OR Rx urin       ","""PARTIAL URETERECTOMY""","56.41"
"1961","5642 ","112","OR Rx urin       ","""TOTAL URETERECTOMY""","56.42"
"1962","5651 ","112","OR Rx urin       ","""FORM CUTAN ILEOURETEROST""","56.51"
"1963","5652 ","112","OR Rx urin       ","""REVIS CUTAN ILEOURETEROS""","56.52"
"1964","5661 ","112","OR Rx urin       ","""FORM CUTAN URETEROSTOMY""","56.61"
"1965","5662 ","112","OR Rx urin       ","""REVIS CUTAN URETEROS NEC""","56.62"
"1966","5671 ","112","OR Rx urin       ","""URIN DIVERSION TO BOWEL""","56.71"
"1967","5672 ","112","OR Rx urin       ","""REVIS URETEROENTEROSTOMY""","56.72"
"1968","5673 ","112","OR Rx urin       ","""NEPHROCYSTANASTOMOSI NOS""","56.73"
"1969","5674 ","112","OR Rx urin       ","""URETERONEOCYSTOSTOMY""","56.74"
"1970","5675 ","112","OR Rx urin       ","""TRANSURETEROURETEROSTOMY""","56.75"
"1971","5679 ","112","OR Rx urin       ","""URETERAL ANASTOMOSIS NEC""","56.79"
"1972","5681 ","112","OR Rx urin       ","""INTRALUM URETE ADHESIOLY""","56.81"
"1973","5682 ","112","OR Rx urin       ","""SUTURE URETERAL LACERAT""","56.82"
"1974","5683 ","112","OR Rx urin       ","""URETEROSTOMY CLOSURE""","56.83"
"1975","5684 ","112","OR Rx urin       ","""CLOSE URETER FISTULA NEC""","56.84"
"1976","5685 ","112","OR Rx urin       ","""URETEROPEXY""","56.85"
"1977","5686 ","112","OR Rx urin       ","""REMOVE URETERAL LIGATURE""","56.86"
"1978","5689 ","112","OR Rx urin       ","""REPAIR OF URETER NEC""","56.89"
"1979","5692 ","112","OR Rx urin       ","""IMPLANT URETERAL STIMUL""","56.92"
"1980","5693 ","112","OR Rx urin       ","""REPLACE URETERAL STIMUL""","56.93"
"1981","5694 ","112","OR Rx urin       ","""REMOVE URETERAL STIMULAT""","56.94"
"1982","5695 ","112","OR Rx urin       ","""LIGATION OF URETER""","56.95"
"1983","5699 ","112","OR Rx urin       ","""URETERAL OPERATION NEC""","56.99"
"1984","5712 ","112","OR Rx urin       ","""CYSTOTOMY & ADHESIOLYSIS""","57.12"
"1985","5718 ","112","OR Rx urin       ","""OTHER SUPRAPU CYSTOSTOMY (Begin 1989)""","57.18"
"1986","5719 ","112","OR Rx urin       ","""CYSTOTOMY NEC""","57.19"
"1987","5721 ","112","OR Rx urin       ","""CYSTOSTOMY (Begin 1989)""","57.21"
"1988","5722 ","112","OR Rx urin       ","""REVISE CYSTOSTOMY (Begin 1989)""","57.22"
"1989","5751 ","112","OR Rx urin       ","""EXCISION OF URACHUS""","57.51"
"1990","5759 ","112","OR Rx urin       ","""BLADDER LES DESTRUCT NEC""","57.59"
"1991","576  ","112","OR Rx urin       ","""PARTIAL CYSTECTOMY""","57.6"
"1992","5771 ","112","OR Rx urin       ","""RADICAL CYSTECTOMY""","57.71"
"1993","5779 ","112","OR Rx urin       ","""TOTAL CYSTECTOMY NEC""","57.79"
"1994","5781 ","112","OR Rx urin       ","""SUTURE BLADDER LACERAT""","57.81"
"1995","5782 ","112","OR Rx urin       ","""CYSTOSTOMY CLOSURE""","57.82"
"1996","5783 ","112","OR Rx urin       ","""ENTEROVESICO FIST REPAIR""","57.83"
"1997","5784 ","112","OR Rx urin       ","""VESIC FISTULA REPAIR NEC""","57.84"
"1998","5785 ","112","OR Rx urin       ","""CYSTOURETHROPLASTY""","57.85"
"1999","5786 ","112","OR Rx urin       ","""BLADDER EXSTROPHY REPAIR""","57.86"
"2000","5787 ","112","OR Rx urin       ","""BLADDER RECONSTRUCTION""","57.87"
"2001","5788 ","112","OR Rx urin       ","""BLADDER ANASTOMOSIS NEC""","57.88"
"2002","5789 ","112","OR Rx urin       ","""BLADDER REPAIR NEC""","57.89"
"2003","5791 ","112","OR Rx urin       ","""BLADDER SPHINCTEROTOMY""","57.91"
"2004","5793 ","112","OR Rx urin       ","""CONTROL BLADD HEMORRHAGE""","57.93"
"2005","5796 ","112","OR Rx urin       ","""IMPLANT BLADDER STIMULAT""","57.96"
"2006","5797 ","112","OR Rx urin       ","""REPLACE BLADDER STIMULAT""","57.97"
"2007","5798 ","112","OR Rx urin       ","""REMOVE BLADDER STIMULAT""","57.98"
"2008","5799 ","112","OR Rx urin       ","""BLADDER OPERATION NEC""","57.99"
"2009","5900 ","112","OR Rx urin       ","""RETROPERIT DISSECT NOS""","59.00"
"2010","5901 ","112","OR Rx urin       ","""URETEROLYS FOR FIBROSIS""","59.01"
"2011","5902 ","112","OR Rx urin       ","""PERIREN ADHESIOLYS NEC""","59.02"
"2012","5903 ","112","OR Rx urin       ","""LAPAROSC LYSIS VESC ADH (Begin 1996)""","59.03"
"2013","5909 ","112","OR Rx urin       ","""PERIREN/URETER INCIS NEC""","59.09"
"2014","5911 ","112","OR Rx urin       ","""PERIVESICAL ADHESIOLYSIS""","59.11"
"2015","5912 ","112","OR Rx urin       ","""OTH LYSUS VESICAL ADH (Begin 1996)""","59.12"
"2016","5919 ","112","OR Rx urin       ","""PERIVESICAL INCISION NEC""","59.19"
"2017","5991 ","112","OR Rx urin       ","""PERIREN/VESICLE EXCISION""","59.91"
"2018","5992 ","112","OR Rx urin       ","""PERIREN/VESICLE OP NEC""","59.92"
"2019","602  ","113","TURP             ","""TRANSURETHRAL PROSTATECT (End 1995)""","60.2"
"2020","6021 ","113","TURP             ","""TRANSUR ULTRAS LASER PROST (Begin 1995)""","60.21"
"2021","6029 ","113","TURP             ","""OTHER TURP (Begin 1995)""","60.29"
"2022","6096 ","113","TURP             ","""TRANSUR MICROWAVE THERMO PROSTATECT (Begin 2000)""","60.96"
"2023","6097 ","113","TURP             ","""TRANSUR OTHER THERMO PROSTATECT (Begin 2000)""","60.97"
"2024","603  ","114","Opn prostect     ","""SUPRAPUBIC PROSTATECTOMY""","60.3"
"2025","604  ","114","Opn prostect     ","""RETROPUBIC PROSTATECTOMY""","60.4"
"2026","605  ","114","Opn prostect     ","""RADICAL PROSTATECTOMY""","60.5"
"2027","6061 ","114","Opn prostect     ","""LOS EXCIS PROSTATIC LES""","60.61"
"2028","6062 ","114","Opn prostect     ","""PERINEAL PROSTATECTOMY""","60.62"
"2029","6069 ","114","Opn prostect     ","""PROSTATECTOMY NEC""","60.69"
"2030","640  ","115","Circumcision     ","""CIRCUMCISION""","64.0"
"2031","6011 ","116","Dx male gen      ","""CLOSED PROSTATIC BX""","60.11"
"2032","6012 ","116","Dx male gen      ","""OPEN PROSTATIC BX""","60.12"
"2033","6013 ","116","Dx male gen      ","""CLOS SEMINAL VES BX""","60.13"
"2034","6014 ","116","Dx male gen      ","""OPEN SEMINAL VES BX""","60.14"
"2035","6015 ","116","Dx male gen      ","""PERIPROSTATIC BIOPSY""","60.15"
"2036","6018 ","116","Dx male gen      ","""PROSTATIC DX PROCED NEC""","60.18"
"2037","6019 ","116","Dx male gen      ","""SEMIN VES DX PROCED NEC""","60.19"
"2038","6111 ","116","Dx male gen      ","""SCROTUM & TUNICA BIOPSY""","61.11"
"2039","6119 ","116","Dx male gen      ","""SCROT/TUNICA DX PROC NEC""","61.19"
"2040","6211 ","116","Dx male gen      ","""CLOSED TESTICULAR BIOPSY""","62.11"
"2041","6212 ","116","Dx male gen      ","""OPEN TESTICULAR BIOPSY""","62.12"
"2042","6219 ","116","Dx male gen      ","""TESTES DX PROCEDURE NEC""","62.19"
"2043","6301 ","116","Dx male gen      ","""SPERMATIC CORD/VAS BIOPS""","63.01"
"2044","6309 ","116","Dx male gen      ","""SPERMAT CORD/VAS DX NEC""","63.09"
"2045","6411 ","116","Dx male gen      ","""PENILE BIOPSY""","64.11"
"2046","6419 ","116","Dx male gen      ","""PENILE DIAGNOST PROC NEC""","64.19"
"2047","6071 ","117","nOR male gen     ","""PERCUT SEMIN VES ASPIRAT""","60.71"
"2048","6091 ","117","nOR male gen     ","""PERCUT PROSTATIC ASPIRAT""","60.91"
"2049","6092 ","117","nOR male gen     ","""INJECTION INTO PROSTATE""","60.92"
"2050","6095 ","117","nOR male gen     ","""TRANS BAL DIL PROS URETH (Begin 1991)""","60.95"
"2051","610  ","117","nOR male gen     ","""SCROTUM & TUNICA I & D""","61.0"
"2052","613  ","117","nOR male gen     ","""SCROTAL LES DESTRUCTION""","61.3"
"2053","6141 ","117","nOR male gen     ","""SUTURE SCROTAL LACERAT""","61.41"
"2054","6191 ","117","nOR male gen     ","""PERCUT TUNICA ASPIRATION""","61.91"
"2055","6291 ","117","nOR male gen     ","""ASPIRATION OF TESTES""","62.91"
"2056","6292 ","117","nOR male gen     ","""INJECTION INTO TESTES""","62.92"
"2057","6352 ","117","nOR male gen     ","""REDUCTION TORSION TESTES""","63.52"
"2058","636  ","117","nOR male gen     ","""VASOTOMY""","63.6"
"2059","6370 ","117","nOR male gen     ","""MALE STERILIZATION NOS""","63.70"
"2060","6371 ","117","nOR male gen     ","""LIGATION OF VAS DEFERENS""","63.71"
"2061","6372 ","117","nOR male gen     ","""SPERMATIC CORD LIGATION""","63.72"
"2062","6373 ","117","nOR male gen     ","""VASECTOMY""","63.73"
"2063","6384 ","117","nOR male gen     ","""REMOVAL VAS LIGATURE""","63.84"
"2064","6391 ","117","nOR male gen     ","""SPERMATOCELE ASPIRATION""","63.91"
"2065","6491 ","117","nOR male gen     ","""DORSAL/LAT SLIT PREPUCE""","64.91"
"2066","6494 ","117","nOR male gen     ","""FIT EXT PENILE PROSTHES""","64.94"
"2067","9994 ","117","nOR male gen     ","""PROSTATIC MASSAGE""","99.94"
"2068","9995 ","117","nOR male gen     ","""STRETCHING OF FORESKIN""","99.95"
"2069","9996 ","117","nOR male gen     ","""SPERM COLLECTION""","99.96"
"2070","600  ","118","OR male gen      ","""INCISION OF PROSTATE""","60.0"
"2071","6072 ","118","OR male gen      ","""SEMINAL VESICLE INCISION""","60.72"
"2072","6073 ","118","OR male gen      ","""SEMINAL VESICLE EXCISION""","60.73"
"2073","6079 ","118","OR male gen      ","""SEMINAL VESICLE OP NEC""","60.79"
"2074","6081 ","118","OR male gen      ","""PERIPROSTATIC INCISION""","60.81"
"2075","6082 ","118","OR male gen      ","""PERIPROSTATIC EXCISION""","60.82"
"2076","6093 ","118","OR male gen      ","""REPAIR OF PROSTATE""","60.93"
"2077","6094 ","118","OR male gen      ","""CONTROL POSTOP PROST HEM""","60.94"
"2078","6099 ","118","OR male gen      ","""PROSTATIC OPERATION NEC""","60.99"
"2079","612  ","118","OR male gen      ","""EXCISION OF HYDROCELE""","61.2"
"2080","6142 ","118","OR male gen      ","""SCROTAL FISTULA REPAIR""","61.42"
"2081","6149 ","118","OR male gen      ","""SCROTUM/TUNIC REPAIR NEC""","61.49"
"2082","6192 ","118","OR male gen      ","""EXCISION TUNICA LES NEC""","61.92"
"2083","6199 ","118","OR male gen      ","""SCROTUM & TUNICA OP NEC""","61.99"
"2084","620  ","118","OR male gen      ","""INCISION OF TESTES""","62.0"
"2085","622  ","118","OR male gen      ","""TESTICULAR LES DESTRUCT""","62.2"
"2086","623  ","118","OR male gen      ","""UNILATERAL ORCHIECTOMY""","62.3"
"2087","6241 ","118","OR male gen      ","""REMOVE BOTH TESTES""","62.41"
"2088","6242 ","118","OR male gen      ","""REMOVE SOLITARY TESTIS""","62.42"
"2089","625  ","118","OR male gen      ","""ORCHIOPEXY""","62.5"
"2090","6261 ","118","OR male gen      ","""SUTURE TESTICULAR LACER""","62.61"
"2091","6269 ","118","OR male gen      ","""TESTICULAR REPAIR NEC""","62.69"
"2092","627  ","118","OR male gen      ","""INSERT TESTICULAR PROSTH""","62.7"
"2093","6299 ","118","OR male gen      ","""TESTICULAR OPERATION NEC""","62.99"
"2094","631  ","118","OR male gen      ","""EXC SPERMATIC VARICOCELE""","63.1"
"2095","632  ","118","OR male gen      ","""EXCISE EPIDIDYMIS CYST""","63.2"
"2096","633  ","118","OR male gen      ","""EXCISE CORD/EPID LES NEC""","63.3"
"2097","634  ","118","OR male gen      ","""EPIDIDYMECTOMY""","63.4"
"2098","6351 ","118","OR male gen      ","""SUTURE CORD & EPID LACER""","63.51"
"2099","6353 ","118","OR male gen      ","""TRANSPLANT SPERMAT CORD""","63.53"
"2100","6359 ","118","OR male gen      ","""CORD & EPIDID REPAIR NEC""","63.59"
"2101","6381 ","118","OR male gen      ","""SUTURE VAS & EPIDID LAC""","63.81"
"2102","6382 ","118","OR male gen      ","""POSTOP VAS RECONSTRUCT""","63.82"
"2103","6383 ","118","OR male gen      ","""EPIDIDYMOVASOSTOMY""","63.83"
"2104","6385 ","118","OR male gen      ","""REMOV VAS DEFERENS VALVE""","63.85"
"2105","6389 ","118","OR male gen      ","""VAS & EPIDIDY REPAIR NEC""","63.89"
"2106","6392 ","118","OR male gen      ","""EPIDIDYMOTOMY""","63.92"
"2107","6393 ","118","OR male gen      ","""SPERMATIC CORD INCISION""","63.93"
"2108","6394 ","118","OR male gen      ","""SPERM CORD ADHESIOLYSIS""","63.94"
"2109","6395 ","118","OR male gen      ","""INSERT VALVE IN VAS DEF""","63.95"
"2110","6399 ","118","OR male gen      ","""CORD/EPID/VAS OPS NEC""","63.99"
"2111","642  ","118","OR male gen      ","""LOCAL EXCIS PENILE LES""","64.2"
"2112","643  ","118","OR male gen      ","""AMPUTATION OF PENIS""","64.3"
"2113","6441 ","118","OR male gen      ","""SUTURE PENILE LACERATION""","64.41"
"2114","6442 ","118","OR male gen      ","""RELEASE OF CHORDEE""","64.42"
"2115","6443 ","118","OR male gen      ","""CONSTRUCTION OF PENIS""","64.43"
"2116","6444 ","118","OR male gen      ","""RECONSTRUCTION OF PENIS""","64.44"
"2117","6445 ","118","OR male gen      ","""REPLANTATION OF PENIS""","64.45"
"2118","6449 ","118","OR male gen      ","""PENILE REPAIR NEC""","64.49"
