
"Drug Catalog","Generic Drug Name",
"ionic iodinated contrast media","diatrizoate-iodipamide",
"ionic iodinated contrast media","iodamide",
"ionic iodinated contrast media","iodipamide",
"ionic iodinated contrast media","iopanoic acid",
"ionic iodinated contrast media","iothalamate",
"ionic iodinated contrast media","ioxaglate",
"ionic iodinated contrast media","ipodate",
"ionic iodinated contrast media","tyropanoate",
"iron products","ascorbic acid-ferrous fumarate",
"iron products","ascorbic acid-ferrous sulfate",
"iron products","ascorbic acid-iron polysaccharide",
"iron products","calcium/ferrous fumarate/vitamin D",
"iron products","carbonyl iron",
"iron products","docusate-ferrous fumarate",
"iron products","ferric carboxymaltose",
"iron products","ferric pyrophosphate",
"iron products","ferrous fumarate",
"iron products","ferrous fumarate/FA/iron polysaccharide",
"iron products","ferrous fumarate-folic acid",
"iron products","ferrous fumarate-iron polysaccharide",
"iron products","ferrous gluconate",
"iron products","ferrous sulfate",
"iron products","ferrous sulfate-folic acid",
"iron products","ferumoxytol",
"iron products","heme iron polypeptide",
"iron products","heme iron polypeptide-iron polysaccharide",
"iron products","iron dextran",
"iron products","iron polysaccharide",
"iron products","iron protein succinylate",
"iron products","iron sucrose",
"iron products","multivitamin, prenatal",
"iron products","multivitamin with iron",
"iron products","multivitamin with iron and fluoride",
"iron products","sodium ferric gluconate complex",
"ketolides","telithromycin",
"laxatives","benzocaine-docusate",
"laxatives","bisacodyl",
"laxatives","bisacodyl-magnesium citrate",
"laxatives","bisacodyl-PEG 3350 with electrolytes",
"laxatives","bisacodyl/sodium biphosphate/sodium phosphate",
"laxatives","casanthranol-docusate",
"laxatives","cascara sagrada",
"laxatives","cascara sagrada-magnesium hydroxide",
"laxatives","cascara sagrada-phenolphthalein",
"laxatives","castor oil",
"laxatives","cellulose",
"laxatives","chromium picolinate-inulin",
"laxatives","citric acid/Mg oxide/Na picosulfate",
"laxatives","docusate",
"laxatives","docusate-phenolphthalein",
"laxatives","docusate-senna",
"laxatives","glycerin",
"laxatives","guar gum",
"laxatives","hydrocortisone-lidocaine topical w psyllium",
"laxatives","inulin",
"laxatives","lactulose",
"laxatives","magnesium citrate",
"laxatives","magnesium hydroxide",
"laxatives","magnesium hydroxide-mineral oil",
"laxatives","magnesium/potassium/sodium sulfates",
"laxatives","magnesium sulfate",
"laxatives","malt soup extract",
"laxatives","malt soup extract-psyllium",
"laxatives","methylcellulose",
"laxatives","mineral oil",
"laxatives","mineral oil-phenolphthalein",
"laxatives","phenolphthalein",
"laxatives","polycarbophil",
"laxatives","polyethylene glycol 3350",
"laxatives","polyethylene glycol 3350 with electrolytes",
"laxatives","potassium bitartrate-sodium bicarbonate",
"laxatives","psyllium",
"laxatives","psyllium-senna",
"laxatives","senna",
"laxatives","sodium biphosphate",
"laxatives","sodium biphosphate-sodium phosphate",
"laxatives","sodium citrate",
"laxatives","sodium phosphate",
"laxatives","sorbitol",
"laxatives","wheat dextrin",
"leprostatics","clofazimine",
"leprostatics","dapsone",
"leprostatics","thalidomide",
"leukotriene modifiers","montelukast",
"leukotriene modifiers","zafirlukast",
"leukotriene modifiers","zileuton",
"lincomycin derivatives","clindamycin",
"lincomycin derivatives","lincomycin",
"local injectable anesthetics","articaine-EPINEPHrine",
"local injectable anesthetics","bupivacaine",
"local injectable anesthetics","bupivacaine-EPINEPHrine",
"local injectable anesthetics","bupivacaine liposome",
"local injectable anesthetics","chloroprocaine",
"local injectable anesthetics","EPINEPHrine-etidocaine",
"local injectable anesthetics","EPINEPHrine-lidocaine",
"local injectable anesthetics","EPINEPHrine-prilocaine",
"local injectable anesthetics","etidocaine",
"local injectable anesthetics","levobupivacaine",
"local injectable anesthetics","levonordefrin-mepivacaine",
"local injectable anesthetics","lidocaine",
"local injectable anesthetics","lidocaine-sodium bicarbonate",
"local injectable anesthetics","mepivacaine",
"local injectable anesthetics","prilocaine",
"local injectable anesthetics","procaine",
"local injectable anesthetics","ropivacaine",
"local injectable anesthetics","tetracaine",
"loop diuretics","bumetanide",
"loop diuretics","ethacrynic acid",
"loop diuretics","furosemide",
"loop diuretics","torsemide",
"lung surfactants","beractant",
"lung surfactants","calfactant",
"lung surfactants","colfosceril",
"lung surfactants","lucinactant",
"lung surfactants","poractant",
"lymphatic staining agents","isosulfan blue",
"lysosomal enzymes","agalsidase beta",
"lysosomal enzymes","alglucerase",
"lysosomal enzymes","alglucosidase alfa",
"lysosomal enzymes","elosulfase alfa",
"lysosomal enzymes","galsulfase",
"lysosomal enzymes","idursulfase",
"lysosomal enzymes","imiglucerase",
"lysosomal enzymes","laronidase",
"lysosomal enzymes","taliglucerase alfa",
"lysosomal enzymes","velaglucerase alfa",
"macrolide derivatives","azithromycin",
"macrolide derivatives","clarithromycin",
"macrolide derivatives","dirithromycin",
"macrolide derivatives","erythromycin",
"macrolide derivatives","fidaxomicin",
"macrolide derivatives","telithromycin",
"macrolide derivatives","troleandomycin",
"macrolides","azithromycin",
"macrolides","clarithromycin",
"macrolides","dirithromycin",
"macrolides","erythromycin",
"macrolides","fidaxomicin",
"macrolides","troleandomycin",
"magnetic resonance imaging contrast media","ferumoxides",
"magnetic resonance imaging contrast media","ferumoxsil",
"magnetic resonance imaging contrast media","gadobenate dimeglumine",
"magnetic resonance imaging contrast media","gadobutrol",
"magnetic resonance imaging contrast media","gadodiamide",
"magnetic resonance imaging contrast media","gadofosveset trisodium",
"magnetic resonance imaging contrast media","gadopentetate dimeglumine",
"magnetic resonance imaging contrast media","gadoterate meglumine",
"magnetic resonance imaging contrast media","gadoteridol",
"magnetic resonance imaging contrast media","gadoversetamide",
"magnetic resonance imaging contrast media","gadoxetate",
"magnetic resonance imaging contrast media","mangafodipir",
"mast cell stabilizers","cromolyn",
"mast cell stabilizers","nedocromil",
"meglitinides","nateglinide",
"meglitinides","repaglinide",
"metabolic agents","acarbose",
"metabolic agents","acetoHEXAMIDE",
"metabolic agents","agalsidase beta",
"metabolic agents","albiglutide",
"metabolic agents","alendronate",
"metabolic agents","alendronate-cholecalciferol",
"metabolic agents","alglucerase",
"metabolic agents","alglucosidase alfa",
"metabolic agents","alirocumab",
"metabolic agents","allopurinol",
"metabolic agents","alogliptin",
"metabolic agents","alogliptin-metFORMIN",
"metabolic agents","alogliptin-pioglitazone",
"metabolic agents","amLODIPine-atorvastatin",
"metabolic agents","aspirin-pravastatin",
"metabolic agents","atorvastatin",
"metabolic agents","atorvastatin-ezetimibe",
"metabolic agents","calcium carbonate-risedronate",
"metabolic agents","canagliflozin",
"metabolic agents","canagliflozin-metFORMIN",
"metabolic agents","cerivastatin",
"metabolic agents","chlorproPAMIDE",
"metabolic agents","cholestyramine",
"metabolic agents","clofibrate",
"metabolic agents","colchicine",
"metabolic agents","colchicine-probenecid",
"metabolic agents","colesevelam",
"metabolic agents","colestipol",
"metabolic agents","dapagliflozin",
"metabolic agents","dapagliflozin-metFORMIN",
"metabolic agents","denosumab",
"metabolic agents","dextrothyroxine sodium",
"metabolic agents","diazoxide",
"metabolic agents","dulaglutide",
"metabolic agents","eliglustat",
"metabolic agents","elosulfase alfa",
"metabolic agents","empagliflozin",
"metabolic agents","empagliflozin-linagliptin",
"metabolic agents","empagliflozin-metFORMIN",
"metabolic agents","etidronate",
"metabolic agents","evolocumab",
"metabolic agents","exenatide",
"metabolic agents","ezetimibe",
"metabolic agents","ezetimibe-simvastatin",
"metabolic agents","febuxostat",
"metabolic agents","fenofibrate",
"metabolic agents","fenofibric acid",
"metabolic agents","fluvastatin",
"metabolic agents","gallium nitrate",
"metabolic agents","galsulfase",
"metabolic agents","gemfibrozil",
"metabolic agents","glimepiride",
"metabolic agents","glimepiride-pioglitazone",
"metabolic agents","glimepiride-rosiglitazone",
"metabolic agents","glipiZIDE",
"metabolic agents","glipiZIDE-metFORMIN",
"metabolic agents","glucagon",
"metabolic agents","glucose",
"metabolic agents","glyBURIDE",
"metabolic agents","glyBURIDE-metFORMIN",
"metabolic agents","glycerol phenylbutyrate",
"metabolic agents","ibandronate",
"metabolic agents","icosapent",
"metabolic agents","idursulfase",
"metabolic agents","imiglucerase",
"metabolic agents","insulin aspart",
"metabolic agents","insulin aspart-insulin aspart protamine",
"metabolic agents","insulin degludec",
"metabolic agents","insulin detemir",
"metabolic agents","insulin glargine",
"metabolic agents","insulin glulisine",
"metabolic agents","insulin inhalation, rapid acting",
"metabolic agents","insulin isophane",
"metabolic agents","insulin isophane-insulin regular",
"metabolic agents","insulin isophane (NPH)",
"metabolic agents","insulin isophane (NPH)-insulin regular",
"metabolic agents","insulin lispro",
"metabolic agents","insulin lispro-insulin lispro protamine",
"metabolic agents","insulin regular",
"metabolic agents","insulin zinc",
"metabolic agents","insulin zinc extended",
"metabolic agents","ivacaftor",
"metabolic agents","ivacaftor-lumacaftor",
"metabolic agents","laronidase",
"metabolic agents","linagliptin",
"metabolic agents","linagliptin-metFORMIN",
"metabolic agents","liraglutide",
"metabolic agents","lomitapide",
"metabolic agents","lovastatin",
"metabolic agents","lovastatin-niacin",
"metabolic agents","metFORMIN",
"metabolic agents","metFORMIN-pioglitazone",
"metabolic agents","metFORMIN-repaglinide",
"metabolic agents","metFORMIN-rosiglitazone",
"metabolic agents","metFORMIN-saxagliptin",
"metabolic agents","metFORMIN-sitaGLIPtin",
"metabolic agents","metreleptin",
"metabolic agents","miglitol",
"metabolic agents","miglustat",
"metabolic agents","mipomersen",
"metabolic agents","nateglinide",
"metabolic agents","niacin",
"metabolic agents","niacin-simvastatin",
"metabolic agents","nitisinone",
"metabolic agents","orlistat",
"metabolic agents","pamidronate",
"metabolic agents","pegloticase",
"metabolic agents","pioglitazone",
"metabolic agents","pitavastatin",
"metabolic agents","pramlintide",
"metabolic agents","pravastatin",
"metabolic agents","probenecid",
"metabolic agents","probucol",
"metabolic agents","rasburicase",
"metabolic agents","red yeast rice",
"metabolic agents","repaglinide",
"metabolic agents","risedronate",
"metabolic agents","rosiglitazone",
"metabolic agents","rosuvastatin",
"metabolic agents","sapropterin",
"metabolic agents","saxagliptin",
"metabolic agents","simvastatin",
"metabolic agents","simvastatin-sitaGLIPtin",
"metabolic agents","sitaGLIPtin",
"metabolic agents","sodium phenylbutyrate",
"metabolic agents","sulfinpyrazone",
"metabolic agents","taliglucerase alfa",
"metabolic agents","tiludronate",
"metabolic agents","TOLAZamide",
"metabolic agents","TOLBUTamide",
"metabolic agents","troglitazone",
"metabolic agents","velaglucerase alfa",
"metabolic agents","zoledronic acid",
"methylxanthines","aminophylline",
"methylxanthines","dyphylline",
"methylxanthines","oxtriphylline",
"methylxanthines","theophylline",
"mineralocorticoids","fludrocortisone",
"minerals and electrolytes","ammonium chloride",
"minerals and electrolytes","ammonium molybdate tetrahydrate",
"minerals and electrolytes","calcium acetate",
"minerals and electrolytes","calcium carbonate",
"minerals and electrolytes","calcium carbonate-magnesium chloride",
"minerals and electrolytes","calcium carbonate-sodium fluoride",
"minerals and electrolytes","calcium chloride",
"minerals and electrolytes","calcium citrate",
"minerals and electrolytes","calcium glubionate",
"minerals and electrolytes","calcium gluceptate",
"minerals and electrolytes","calcium gluconate",
"minerals and electrolytes","calcium glycerophosphate",
"minerals and electrolytes","calcium glycerophosphate-calcium lactate",
"minerals and electrolytes","calcium lactate",
"minerals and electrolytes","calcium phosphate, tribasic",
"minerals and electrolytes","chromic chloride hexahydrate",
"minerals and electrolytes","chromium picolinate",
"minerals and electrolytes","citric acid",
"minerals and electrolytes","citric acid/K citrate/Na citrate",
"minerals and electrolytes","citric acid-potassium bicarbonate",
"minerals and electrolytes","citric acid-potassium citrate",
"minerals and electrolytes","citric acid-sodium citrate",
"minerals and electrolytes","copper chloride",
"minerals and electrolytes","copper gluconate",
"minerals and electrolytes","copper sulfate",
"minerals and electrolytes","electrolyte replacement solutions, oral",
"minerals and electrolytes","fluoride",
"minerals and electrolytes","fluoride topical",
"minerals and electrolytes","iodine-potassium iodide",
"minerals and electrolytes","lidocaine-potassium chloride",
"minerals and electrolytes","magnesium amino acids chelate",
"minerals and electrolytes","magnesium aspartate",
"minerals and electrolytes","magnesium carbonate",
"minerals and electrolytes","magnesium chloride",
"minerals and electrolytes","magnesium gluconate",
"minerals and electrolytes","magnesium lactate",
"minerals and electrolytes","magnesium oxide",
"minerals and electrolytes","magnesium sulfate",
"minerals and electrolytes","magnesium trisilicate",
"minerals and electrolytes","manganese chloride",
"minerals and electrolytes","manganese sulfate",
"minerals and electrolytes","potassium acetate",
"minerals and electrolytes","potassium acetate/K bicarbonate/K citrate",
"minerals and electrolytes","potassium bicarbonate",
"minerals and electrolytes","potassium bicarbonate-potassium chloride",
"minerals and electrolytes","potassium bicarbonate-potassium citrate",
"minerals and electrolytes","potassium chloride",
"minerals and electrolytes","potassium chloride-sodium chloride",
"minerals and electrolytes","potassium gluconate",
"minerals and electrolytes","potassium phosphate",
"minerals and electrolytes","potassium phosphate-sodium phosphate",
"minerals and electrolytes","selenium",
"minerals and electrolytes","sodium acetate",
"minerals and electrolytes","sodium bicarbonate",
"minerals and electrolytes","sodium chloride",
"minerals and electrolytes","sodium glycerophosphate",
"minerals and electrolytes","sodium iodide",
"minerals and electrolytes","sodium lactate",
"minerals and electrolytes","sodium phosphate",
"minerals and electrolytes","tromethamine",
"minerals and electrolytes","zinc acetate",
"minerals and electrolytes","zinc chloride",
"minerals and electrolytes","zinc gluconate",
"minerals and electrolytes","zinc sulfate",
"miscellaneous agents","abatacept",
"miscellaneous agents","acetylcysteine",
"miscellaneous agents","acitretin",
"miscellaneous agents","adalimumab",
"miscellaneous agents","aluminum hydroxide",
"miscellaneous agents","ambenonium",
"miscellaneous agents","aminohippurate",
"miscellaneous agents","amyl nitrite/Na nitrite/Na thiosulfate",
"miscellaneous agents","anagrelide",
"miscellaneous agents","anakinra",
"miscellaneous agents","apremilast",
"miscellaneous agents","aprotinin",
"miscellaneous agents","articaine-EPINEPHrine",
"miscellaneous agents","atropine",
"miscellaneous agents","atropine-edrophonium",
"miscellaneous agents","atropine-pralidoxime",
"miscellaneous agents","auranofin",
"miscellaneous agents","aurothioglucose",
"miscellaneous agents","azaTHIOprine",
"miscellaneous agents","benzylpenicilloyl-polylysine",
"miscellaneous agents","bupivacaine",
"miscellaneous agents","bupivacaine-EPINEPHrine",
"miscellaneous agents","bupivacaine liposome",
"miscellaneous agents","buPROPion",
"miscellaneous agents","calcium acetate",
"miscellaneous agents","calcium gluconate topical",
"miscellaneous agents","carglumic acid",
"miscellaneous agents","charcoal",
"miscellaneous agents","charcoal-sorbitol",
"miscellaneous agents","chlorophyllin",
"miscellaneous agents","chloroprocaine",
"miscellaneous agents","chlorpheniramine-EPINEPHrine",
"miscellaneous agents","chymopapain",
"miscellaneous agents","cinacalcet",
"miscellaneous agents","collagenase clostridium histolyticum",
"miscellaneous agents","cysteamine",
"miscellaneous agents","dalfampridine",
"miscellaneous agents","deferasirox",
"miscellaneous agents","deferiprone",
"miscellaneous agents","deferoxamine",
"miscellaneous agents","dexrazoxane",
"miscellaneous agents","dextranomer-sodium hyaluronate",
"miscellaneous agents","digoxin immune FAB",
"miscellaneous agents","dimercaprol",
"miscellaneous agents","d-xylose",
"miscellaneous agents","edetate calcium disodium",
"miscellaneous agents","edrophonium",
"miscellaneous agents","EPINEPHrine-etidocaine",
"miscellaneous agents","EPINEPHrine-lidocaine",
"miscellaneous agents","EPINEPHrine-prilocaine",
"miscellaneous agents","etanercept",
"miscellaneous agents","ethanol",
"miscellaneous agents","etidocaine",
"miscellaneous agents","etretinate",
"miscellaneous agents","ferric citrate",
"miscellaneous agents","flumazenil",
"miscellaneous agents","fomepizole",
"miscellaneous agents","glucarpidase",
"miscellaneous agents","gold sodium thiomalate",
"miscellaneous agents","guanidine",
"miscellaneous agents","hemin",
"miscellaneous agents","histamine phosphate",
"miscellaneous agents","hyaluronan",
"miscellaneous agents","hyaluronidase",
"miscellaneous agents","hydroxychloroquine",
"miscellaneous agents","hylan G-F 20",
"miscellaneous agents","inFLIXimab",
"miscellaneous agents","ipecac",
"miscellaneous agents","isosorbide",
"miscellaneous agents","ISOtretinoin",
"miscellaneous agents","lanthanum carbonate",
"miscellaneous agents","leflunomide",
"miscellaneous agents","leucovorin",
"miscellaneous agents","levobupivacaine",
"miscellaneous agents","levoleucovorin",
"miscellaneous agents","levonordefrin-mepivacaine",
"miscellaneous agents","lidocaine",
"miscellaneous agents","lidocaine-sodium bicarbonate",
"miscellaneous agents","liver derivative complex",
"miscellaneous agents","mepivacaine",
"miscellaneous agents","methacholine",
"miscellaneous agents","methotrexate",
"miscellaneous agents","methoxsalen",
"miscellaneous agents","methylene blue",
"miscellaneous agents","nalmefene",
"miscellaneous agents","naloxone",
"miscellaneous agents","naltrexone",
"miscellaneous agents","neostigmine",
"miscellaneous agents","nicotine",
"miscellaneous agents","palifermin",
"miscellaneous agents","pectin",
"miscellaneous agents","penicillAMINE",
"miscellaneous agents","pentagastrin",
"miscellaneous agents","pentastarch",
"miscellaneous agents","pentetate calcium trisodium",
"miscellaneous agents","pentetate zinc trisodium",
"miscellaneous agents","physostigmine",
"miscellaneous agents","pirfenidone",
"miscellaneous agents","poly-L-lactic acid",
"miscellaneous agents","pralidoxime",
"miscellaneous agents","prilocaine",
"miscellaneous agents","procaine",
"miscellaneous agents","protirelin",
"miscellaneous agents","Prussian blue",
"miscellaneous agents","pyridostigmine",
"miscellaneous agents","riluzole",
"miscellaneous agents","riTUXimab",
"miscellaneous agents","ropivacaine",
"miscellaneous agents","sevelamer",
"miscellaneous agents","simethicone coated cellulose",
"miscellaneous agents","sincalide",
"miscellaneous agents","sodium benzoate-sodium phenylacetate",
"miscellaneous agents","sodium hyaluronate",
"miscellaneous agents","sodium nitrite",
"miscellaneous agents","sodium nitrite-sodium thiosulfate",
"miscellaneous agents","sodium polystyrene sulfonate",
"miscellaneous agents","sodium propionate",
"miscellaneous agents","sodium thiosulfate",
"miscellaneous agents","sterile talc",
"miscellaneous agents","succimer",
"miscellaneous agents","sucroferric oxyhydroxide",
"miscellaneous agents","tetracaine",
"miscellaneous agents","tofacitinib",
"miscellaneous agents","trientine",
"miscellaneous agents","trioxsalen",
"miscellaneous agents","varenicline",
"miscellaneous analgesics","acetaminophen",
"miscellaneous analgesics","salicylamide",
"miscellaneous analgesics","ziconotide",
"miscellaneous antibiotics","atovaquone",
"miscellaneous antibiotics","aztreonam",
"miscellaneous antibiotics","bacitracin",
"miscellaneous antibiotics","chloramphenicol",
"miscellaneous antibiotics","colistimethate",
"miscellaneous antibiotics","dalfopristin-quinupristin",
"miscellaneous antibiotics","DAPTOmycin",
"miscellaneous antibiotics","erythromycin-sulfiSOXAZOLE",
"miscellaneous antibiotics","fosfomycin",
"miscellaneous antibiotics","furazolidone",
"miscellaneous antibiotics","metroNIDAZOLE",
"miscellaneous antibiotics","novobiocin",
"miscellaneous antibiotics","pentamidine",
"miscellaneous antibiotics","polymyxin B sulfate",
"miscellaneous antibiotics","rifaximin",
"miscellaneous antibiotics","spectinomycin",
"miscellaneous antibiotics","sulfamethoxazole-trimethoprim",
"miscellaneous antibiotics","trimetrexate",
"miscellaneous anticonvulsants","lacosamide",
"miscellaneous anticonvulsants","magnesium sulfate",
"miscellaneous antidepressants","5-hydroxytryptophan",
"miscellaneous antidepressants","buPROPion",
"miscellaneous antidepressants","St. John&apos;s wort",
"miscellaneous antidepressants","vilazodone",
"miscellaneous antidepressants","vortioxetine",
"miscellaneous antiemetics","doxylamine-pyridoxine",
"miscellaneous antiemetics","dronabinol",
"miscellaneous antiemetics","LORazepam",
"miscellaneous antiemetics","metoclopramide",
"miscellaneous antiemetics","nabilone",
"miscellaneous antiemetics","netupitant-palonosetron",
"miscellaneous antiemetics","phosphorated carbohydrate solution",
"miscellaneous antifungals","flucytosine",
"miscellaneous antifungals","griseofulvin",
"miscellaneous antifungals","hydroxypropyl chitosan topical-terbinafine",
"miscellaneous antifungals","terbinafine",
"miscellaneous antihyperlipidemic agents","dextrothyroxine sodium",
"miscellaneous antihyperlipidemic agents","icosapent",
"miscellaneous antihyperlipidemic agents","lomitapide",
"miscellaneous antihyperlipidemic agents","mipomersen",
"miscellaneous antihyperlipidemic agents","niacin",
"miscellaneous antihyperlipidemic agents","probucol",
"miscellaneous antihypertensive combinations","aliskiren-amLODIPine",
"miscellaneous antihypertensive combinations","aliskiren/amLODIPine/hydrochlorothiazide",
"miscellaneous antihypertensive combinations","aliskiren-hydrochlorothiazide",
"miscellaneous antihypertensive combinations","aliskiren-valsartan",
"miscellaneous antihypertensive combinations","amLODIPine-atorvastatin",
"miscellaneous antihypertensive combinations","amLODIPine/hydrochlorothiazide/olmesartan",
"miscellaneous antihypertensive combinations","amLODIPine/hydrochlorothiazide/valsartan",
"miscellaneous antihypertensive combinations","hydrALAZINE-hydrochlorothiazide",
"miscellaneous antihypertensive combinations","hydrALAZINE/hydrochlorothiazide/reserpine",
"miscellaneous antihypertensive combinations","hydrALAZINE-isosorbide dinitrate",
"miscellaneous antimalarials","doxycycline",
"miscellaneous antimalarials","halofantrine",
"miscellaneous antimalarials","pyrimethamine",
"miscellaneous antineoplastics","abiraterone",
"miscellaneous antineoplastics","aldesleukin",
"miscellaneous antineoplastics","altretamine",
"miscellaneous antineoplastics","arsenic trioxide",
"miscellaneous antineoplastics","asparaginase Erwinia chrysanthemi",
"miscellaneous antineoplastics","asparaginase Escherichia coli",
"miscellaneous antineoplastics","azaCITIDine",
"miscellaneous antineoplastics","BCG",
"miscellaneous antineoplastics","bexarotene",
"miscellaneous antineoplastics","blinatumomab",
"miscellaneous antineoplastics","denileukin diftitox",
"miscellaneous antineoplastics","dinutuximab",
"miscellaneous antineoplastics","hexaminolevulinate",
"miscellaneous antineoplastics","irinotecan",
"miscellaneous antineoplastics","irinotecan liposomal",
"miscellaneous antineoplastics","ISOtretinoin",
"miscellaneous antineoplastics","lenalidomide",
"miscellaneous antineoplastics","levamisole",
"miscellaneous antineoplastics","mitotane",
"miscellaneous antineoplastics","nivolumab",
"miscellaneous antineoplastics","olaparib",
"miscellaneous antineoplastics","omacetaxine",
"miscellaneous antineoplastics","pegaspargase",
"miscellaneous antineoplastics","pembrolizumab",
"miscellaneous antineoplastics","pomalidomide",
"miscellaneous antineoplastics","porfimer",
"miscellaneous antineoplastics","procarbazine",
"miscellaneous antineoplastics","talimogene laherparepvec",
"miscellaneous antineoplastics","thalidomide",
"miscellaneous antineoplastics","tipiracil-trifluridine",
"miscellaneous antineoplastics","topotecan",
"miscellaneous antineoplastics","tretinoin",
"miscellaneous antineoplastics","verteporfin",
"miscellaneous antipsychotic agents","haloperidol",
"miscellaneous antipsychotic agents","lithium",
"miscellaneous antipsychotic agents","loxapine",
"miscellaneous antipsychotic agents","molindone",
"miscellaneous antipsychotic agents","pimozide",
"miscellaneous antituberculosis agents","ethambutol",
"miscellaneous antituberculosis agents","pyrazinamide",
"miscellaneous antivirals","enfuvirtide",
"miscellaneous antivirals","fomivirsen ophthalmic",
"miscellaneous antivirals","foscarnet",
"miscellaneous antivirals","sofosbuvir",
"miscellaneous anxiolytics, sedatives and hypnotics","acetylcarbromal",
"miscellaneous anxiolytics, sedatives and hypnotics","busPIRone",
"miscellaneous anxiolytics, sedatives and hypnotics","calcium/melatonin/pyridoxine",
"miscellaneous anxiolytics, sedatives and hypnotics","chloral hydrate",
"miscellaneous anxiolytics, sedatives and hypnotics","chlormezanone",
"miscellaneous anxiolytics, sedatives and hypnotics","dexmedetomidine",
"miscellaneous anxiolytics, sedatives and hypnotics","diphenhydrAMINE",
"miscellaneous anxiolytics, sedatives and hypnotics","doxepin",
"miscellaneous anxiolytics, sedatives and hypnotics","doxylamine",
"miscellaneous anxiolytics, sedatives and hypnotics","eszopiclone",
"miscellaneous anxiolytics, sedatives and hypnotics","ethchlorvynol",
"miscellaneous anxiolytics, sedatives and hypnotics","hydrOXYzine",
"miscellaneous anxiolytics, sedatives and hypnotics","melatonin",
"miscellaneous anxiolytics, sedatives and hypnotics","meprobamate",
"miscellaneous anxiolytics, sedatives and hypnotics","paraldehyde",
"miscellaneous anxiolytics, sedatives and hypnotics","propiomazine",
"miscellaneous anxiolytics, sedatives and hypnotics","pyrilamine",
"miscellaneous anxiolytics, sedatives and hypnotics","ramelteon",
"miscellaneous anxiolytics, sedatives and hypnotics","sodium oxybate",
"miscellaneous anxiolytics, sedatives and hypnotics","suvorexant",
"miscellaneous anxiolytics, sedatives and hypnotics","tasimelteon",
"miscellaneous anxiolytics, sedatives and hypnotics","zaleplon",
"miscellaneous anxiolytics, sedatives and hypnotics","zolpidem",
"miscellaneous bone resorption inhibitors","denosumab",
"miscellaneous bone resorption inhibitors","gallium nitrate",
"miscellaneous cardiovascular agents","cilostazol",
"miscellaneous cardiovascular agents","edetate disodium",
"miscellaneous cardiovascular agents","icatibant",
"miscellaneous cardiovascular agents","ivabradine",
"miscellaneous cardiovascular agents","metyrosine",
"miscellaneous cardiovascular agents","midodrine",
"miscellaneous cardiovascular agents","phenoxybenzamine",
"miscellaneous cardiovascular agents","phentolamine",
"miscellaneous cardiovascular agents","tolazoline",
"miscellaneous central nervous system agents","dextromethorphan-quiNIDine",
"miscellaneous central nervous system agents","ergoloid mesylates",
"miscellaneous central nervous system agents","flibanserin",
"miscellaneous central nervous system agents","memantine",
"miscellaneous central nervous system agents","tetrabenazine",
"miscellaneous coagulation modifiers","aminocaproic acid",
"miscellaneous coagulation modifiers","antihemophilic factor",
"miscellaneous coagulation modifiers","antihemophilic factor-von Willebrand factor",
"miscellaneous coagulation modifiers","anti-inhibitor coagulant complex",
"miscellaneous coagulation modifiers","antithrombin III",
"miscellaneous coagulation modifiers","antithrombin recombinant",
"miscellaneous coagulation modifiers","C1 esterase inhibitor, human",
"miscellaneous coagulation modifiers","coagulation factor IX",
"miscellaneous coagulation modifiers","coagulation factor VIIa",
"miscellaneous coagulation modifiers","complement C1 esterase inhibitor",
"miscellaneous coagulation modifiers","conestat alfa",
"miscellaneous coagulation modifiers","drotrecogin alfa",
"miscellaneous coagulation modifiers","ecallantide",
"miscellaneous coagulation modifiers","factor IX complex",
"miscellaneous coagulation modifiers","factor XIII",
"miscellaneous coagulation modifiers","ferric subsulfate topical",
"miscellaneous coagulation modifiers","fibrinogen",
"miscellaneous coagulation modifiers","fibrinogen-thrombin topical",
"miscellaneous coagulation modifiers","fibrin sealant topical",
"miscellaneous coagulation modifiers","pentoxifylline",
"miscellaneous coagulation modifiers","protein C",
"miscellaneous coagulation modifiers","thrombin topical",
"miscellaneous coagulation modifiers","tranexamic acid",
"miscellaneous diagnostic dyes","fluorescein",
"miscellaneous diagnostic dyes","indigo carmine",
"miscellaneous diagnostic dyes","indocyanine green",
"miscellaneous diuretics","mannitol",
"miscellaneous diuretics","pamabrom",
"miscellaneous diuretics","urea",
"miscellaneous genitourinary tract agents","acetohydroxamic acid",
"miscellaneous genitourinary tract agents","bethanechol",
"miscellaneous genitourinary tract agents","cellulose sodium phosphate",
"miscellaneous genitourinary tract agents","dimethyl sulfoxide",
"miscellaneous genitourinary tract agents","neostigmine",
"miscellaneous genitourinary tract agents","pentosan polysulfate sodium",
"miscellaneous genitourinary tract agents","phenazopyridine",
"miscellaneous genitourinary tract agents","tiopronin",
"miscellaneous genitourinary tract agents","tromethamine",
"miscellaneous GI agents","alginic acid",
"miscellaneous GI agents","benzoic acid",
"miscellaneous GI agents","calcium carbonate-psyllium",
"miscellaneous GI agents","charcoal",
"miscellaneous GI agents","charcoal-simethicone",
"miscellaneous GI agents","citric acid/simethicone/sodium bicarbonate",
"miscellaneous GI agents","dehydrocholic acid",
"miscellaneous GI agents","glutamic acid",
"miscellaneous GI agents","misoprostol",
"miscellaneous GI agents","simethicone",
"miscellaneous GI agents","sodium bicarbonate-tartaric acid",
"miscellaneous GI agents","sucralfate",
